Date,Bank Rate
2000-01-01,5.50
2000-02-01,5.75
2000-03-01,6.00
2000-04-01,6.00
2000-05-01,6.00
2000-06-01,6.00
2000-07-01,6.00
2000-08-01,6.00
2000-09-01,6.00
2000-10-01,6.00
2000-11-01,6.00
2000-12-01,6.00
2001-01-01,6.00
2001-02-01,5.75
2001-03-01,5.50
2001-04-01,5.25
2001-05-01,5.25
2001-06-01,5.00
2001-07-01,5.00
2001-08-01,4.75
2001-09-01,4.50
2001-10-01,4.50
2001-11-01,4.00
2001-12-01,4.00
2002-01-01,4.00
2002-02-01,4.00
2002-03-01,4.00
2002-04-01,4.00
2002-05-01,4.00
2002-06-01,4.00
2002-07-01,4.00
2002-08-01,4.00
2002-09-01,4.00
2002-10-01,4.00
2002-11-01,4.00
2002-12-01,4.00
2003-01-01,4.00
2003-02-01,3.75
2003-03-01,3.75
2003-04-01,3.75
2003-05-01,3.75
2003-06-01,3.75
2003-07-01,3.50
2003-08-01,3.50
2003-09-01,3.50
2003-10-01,3.50
2003-11-01,3.75
2003-12-01,3.75
