Company,Revenue_Billion,Employees,Market,Customer_Reviews
Coca Cola,45.0,79000,Beverages,Refreshing drinks and strong global brand
PepsiCo,86.0,315000,Snacks,Wide variety of snacks and beverages
Nestle,94.0,275000,Food,High quality food products worldwide
Starbucks,32.0,383000,Coffee,Great coffee and customer experience
McDonalds,23.0,200000,Fast Food,Fast service and affordable meals
Unilever,60.0,148000,Food,Sustainable and diverse product range
Danone,28.0,100000,Dairy,Healthy dairy products focus
Kraft Heinz,26.0,38000,Food,Classic food brands with strong presence
Red Bull,9.0,15000,Energy Drinks,High energy drinks popular among youth
Monster,6.0,3500,Energy Drinks,Strong brand in energy drink segment
