product_name,packaging,main_category,nutrition_grade_fr,nutrition_score,fat_g,carbohydrates_g,proteins_g,additives_n,ingredients_from_palm_oil_n,fp_lat,fp_lon,contains_additives
Salade Cesar,frais,plant-based-foods-and-beverages,c,6,12.0,23.0,22.0,0,0,47.63,-2.67,0
Chaussons tressés aux pommes,frais,sugary-snacks,c,9,10.7,38.7,3.33,5,0,47.63,-2.67,1
Pain Burger Artisan,"frais,plastique",boulange,b,1,1.11,53.3,10.0,0,0,47.63,-2.67,0
Root Beer,"canette,métal",beverages,e,18,0.0,14.2,0.0,3,0,47.63,-2.67,1
Quiche Lorraine,frai,meals,b,2,6.79,7.86,5.36,3,0,47.63,-2.67,1
"Gotta-have grape, seriously strawberry flavor",carton,sugary-snacks,d,14,0.0,93.3,0.0,1,0,47.63,-2.67,1
Thé noir aromatisé violette et fleurs,"sachet,plastique",beverages,c,2,0.1,0.1,0.1,0,0,47.63,-2.67,0
Belgische Pralinen,21 pap,plant-based-foods-and-beverages,e,26,33.3,53.8,4.7,3,0,47.63,-2.67,1
Luxury Christmas Pudding,"plastic,bowl",desserts,c,10,7.0,54.2,3.9,4,0,47.63,-2.67,1
Luxury Christmas Pudding,"plastic,bowl",sugary-snacks,c,10,7.0,54.2,3.9,4,0,47.63,-2.67,1
"Pepsi, Nouveau goût !",canette aluminium,beverages,e,13,0.0,10.4,0.0,2,0,47.63,-2.67,1
Blle Pet 50CL Coca Cola Cherry,"sachet,plastique",beverages,e,14,0.1,10.7,0.0,1,0,47.63,-2.67,1
7Up,canette,beverages,e,13,0.0,10.4,0.0,3,0,47.63,-2.67,1
Madeleines nature,"carton,plastique",sugary-snacks,d,12,23.0,55.0,6.0,5,0,47.63,-2.67,1
Cakes Raisins,"boîte,carton,plastique,sachet",sugary-snacks,d,13,19.0,56.0,5.8,5,0,47.63,-2.67,1
Cakes aux Fruits,"boîte,carton,sachet,plastique",sugary-snacks,d,12,15.0,60.0,4.9,11,0,47.63,-2.67,1
Financiers aux Amandes,"boîte carton,sachet plastique",sugary-snacks,e,22,23.0,51.0,8.0,3,0,47.63,-2.67,1
Fondants Citron,"boîte carton,sachet plastique",sugary-snacks,e,22,24.0,50.0,8.1,8,0,47.63,-2.67,1
Sea Salt Potato Chips,"sachet,plastique",chips-and-fries,c,8,32.14,57.14,7.14,0,0,47.63,-2.67,0
Sour Fruit Gummies,"sachet,plastique",sugary-snacks,d,14,0.0,75.0,5.0,10,0,47.63,-2.67,1
Jelly Fish,"sachet,plastique",sugary-snacks,c,6,0.0,34.0,0.0,7,0,47.63,-2.67,1
30 Panach' Fruits,"boîte,carton,plastique",sugary-snacks,d,13,18.0,57.0,5.0,9,0,47.63,-2.67,1
Curiously Strong Mints,"metal,box",groceries,d,14,0.5,96.0,0.9,1,0,47.63,-2.67,1
All Butter Cookies Belgian Chocolate Chunk,"sachet,plastique",sugary-snacks,e,24,26.0,60.1,5.4,5,0,47.63,-2.67,1
All Butter Sultana Cookies,"sachet,plastique",sugary-snacks,e,21,17.9,64.3,5.5,5,0,47.63,-2.67,1
All Butter Belgian White Chocolate Chunk Cookies,"sachet,plastique,papier",sugary-snacks,e,26,29.1,58.4,5.5,5,0,47.63,-2.67,1
All Butter Fruity Flapjack Cookies,"sachet,plastique",sugary-snacks,e,21,20.5,59.3,5.1,4,0,47.63,-2.67,1
Cookies aux Pistaches & Amandes,"sachet,plastique",sugary-snacks,d,17,32.1,46.9,10.7,5,0,47.63,-2.67,1
All butter Cranberry & Orange Cookies,"sachet,plastique",sugary-snacks,e,22,15.2,67.5,4.4,4,0,47.63,-2.67,1
Cookies Stem Ginger,"barquette,plastique",sugary-snacks,e,20,20.8,63.6,6.1,5,0,47.63,-2.67,1
Stem Ginger Cookies,plastique,sugary-snacks,d,18,13.3,70.2,6.1,6,0,47.63,-2.67,1
Stem Ginger Dunkers,carton,sugary-snacks,e,20,20.8,63.6,6.1,5,0,47.63,-2.67,1
Clam Chowder A Condensed Soup,tin,meals,b,2,1.64,9.02,4.1,1,0,47.63,-2.67,1
6 Ultimate Crumpets,"sachet,plastique",breakfasts,b,1,0.6,33.1,5.9,3,0,47.63,-2.67,1
Carrot & Coriander soup,"sachet,plastique",carrot-coriander-soup,b,1,1.4,3.6,0.3,1,0,47.63,-2.67,1
Bijou Caramel ChocoLait,"boîte carton,sachet plastique",sugary-snacks,e,19,20.0,57.0,5.3,8,0,47.63,-2.67,1
4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies,"sachet,plastique",sugary-snacks,d,18,26.8,54.2,6.0,3,1,47.63,-2.67,1
Pizza Parlanno,box,meals,d,11,12.0,25.6,9.77,0,0,47.63,-2.67,0
Honey roast ham,"barquette,plastique",charcuteries,c,4,2.0,4.3,24.5,0,0,47.63,-2.67,0
Cornish Cruncher Cheddar & Pickled Onion Hand Cooked,"sachet,plastique",salty-snacks,c,9,26.5,53.7,6.2,1,0,47.63,-2.67,1
Gluten Free Melba Toasts With Apricots & Cashew Nuts,"carton,boîte",plant-based-foods-and-beverages,c,10,11.1,63.7,8.3,4,0,47.63,-2.67,1
M&S Iced Tea Spanish Peach,"sachet,plastique",beverages,e,11,0.1,7.6,0.2,2,0,47.63,-2.67,1
All butter summer trifle coockirs,"sachet,plastique",sugary-snacks,e,21,21.5,62.5,5.9,1,0,47.63,-2.67,1
Pur Soup' Velouté de légumes,"brique,carton",plant-based-foods-and-beverages,b,2,2.1,5.3,0.8,1,0,47.63,-2.67,1
British Beef Braising Steak,"tray - plastic, film - plastic",meats,a,-2,6.4,0.0,22.1,0,0,47.63,-2.67,0
Mac 'n Cheese,box,meals,c,4,7.58,21.2,8.08,5,0,47.63,-2.67,1
"Salade Mexicaine de Riz, Quinoa et Avocat","frais,plastique",plant-based-foods-and-beverages,a,-3,5.2,18.8,3.1,0,0,47.63,-2.67,0
Diet Sparkling Fiery Ginger Beer,"bouteille,plastique",beverages,b,1,0.1,0.0,0.1,5,0,47.63,-2.67,1
British plain flour,bag - paper,plant-based-foods-and-beverages,a,-5,1.3,77.7,9.4,2,0,47.63,-2.67,1
